title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2025 Eastern Cape Championship,https://www.sailing.org.za/events/318155,2025-10-17,2025-10-19,09:00,09:00,Wriggleswade Dam,Regional Championships,,,,,,,,,,,318155,,,True
IOM Nationals,https://www.sailing.org.za/events/321351,2025-10-18,2025-10-19,08:00,15:00,Witbank Yacht Club,National Championships,,,,,,,,,,,321351,,,True
STC Stadt 23 Ladies Champs,https://www.sailing.org.za/events/278722,2025-10-18,2025-10-19,09:00,09:00,Theewater Sports Club,Training,,,,,,,,,,,278722,,,True
Boskop Open Regatta 2025,https://www.revolutionise.com.au/boskopyc/events/315987,2025-10-25,2025-10-26,08:00,15:00,Boskop Yacht Club,,,,,,,,,,,,,revolutionise,315987,True
Ullman Sails Ladies Race,https://www.sailing.org.za/events/293425,2025-10-25,2025-10-25,09:00,16:00,Royal Cape Yacht Club,,,,,,,,,,,,293425,,,True
KZNDSAC L2S Learn to Sail Level 1 KSYC,https://www.sailing.org.za/events/327491,2025-11-01,2025-11-02,09:00,09:00,Zululand Yacht Club,Training,,,,,,,,,,,327491,,,True
KZNDSAC L2S Learn to Sail Level 2 KSYC,https://www.sailing.org.za/events/327490,2025-11-08,2025-11-09,09:00,09:00,Zululand Yacht Club,Training,,,,,,,,,,,327490,,,True
Seaport Supply West Coast Offshore,https://www.sailing.org.za/events/278723,2025-11-28,2025-11-29,09:00,09:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,278723,,,True
Cape 31 Performance Cup,https://www.sailing.org.za/events/278724,2025-11-29,2025-12-07,09:00,09:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,278724,,,True
TSC Cape Classic,https://www.sailing.org.za/events/293428,2025-12-06,2025-12-07,09:00,15:00,Theewater Sports Club,Dinghy Event,,,,,,,,,,,293428,,,True
USSA Sailing Championships,https://www.sailing.org.za/events/293430,2025-12-10,2025-12-16,09:00,09:00,Lake Deneys Yacht Club,Dinghy Event,,,,,,,,,,,293430,,,True
2025 Youth Sailing World Championships,https://www.sailing.org.za/events/320768,2025-12-12,2025-12-20,09:00,18:00,Across country,,,,,,,,,,,,320768,,,True
Hobie Robberg Regatta,https://www.sailing.org.za/events/278725,2025-12-13,2025-12-16,09:00,09:00,Details,,,,,,,,,,,,278725,,,True
2025 SA Sailing Youth National Championship,https://www.sailing.org.za/events/269910,2025-12-14,2025-12-19,08:00,21:00,Hermanus Yacht Club,National Championships,,,,,,,,,,,269910,,,True
Stadt WC Champs,https://www.sailing.org.za/events/293429,2025-12-27,2025-12-30,09:00,15:00,Theewater Sports Club,Regional Championships,,,,,,,,,,,293429,,,True
Cape2Rio 2025,https://www.sailing.org.za/events/250207,2025-12-27,2025-12-27,09:00,09:00,Royal Cape Yacht Club,,,,,,,,,,,,250207,,,True
Pearly&#039;s Challenge,https://www.sailing.org.za/events/293431,2025-12-31,2025-12-31,09:00,09:00,Langebaan,,,,,,,,,,,,293431,,,True
2026 Dragonflite 95 Eastern Cape Regional Championship,https://www.sailing.org.za/events/322613,2026-01-23,2026-01-25,09:00,09:00,Port Elizabeth Radio Boat Club,Regional Championships,,,,,,,,,,,322613,,,True
Port Owen River Race,https://www.sailing.org.za/events/282429,2026-01-24,2026-01-25,09:00,09:00,Port Owen Yacht Club,Keel Boat Event,,,,,,,,,,,282429,,,True
