title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2024 SOLING and FLYING 15 NATIONAL CHAMPIONSHIP,https://www.hmyc.org.za/events/242821,2024-11-16,2024-11-17,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,242821,True
GP 7 - Pursuit Race,https://www.sailing.org.za/events/253670,2024-11-16,2024-11-16,>GP 7 - Pursuit Race,,,,,,,,,,,,253670,,,True
Update Session new RRS,https://www.sailing.org.za/events/265572,2024-11-28,2024-11-28,>Update Session new RRS,,,,,,,,,,,,265572,,,True
TSC Cape Classic,https://www.sailing.org.za/events/240663,2024-11-30,2024-12-01,>TSC Cape Classic,,,,,,,,,,,,240663,,,True
Cape 31 Cape Performance Cup,https://www.sailing.org.za/events/240664,2024-11-30,2024-12-01,>Cape 31 Cape Performance Cup,,,,,,,,,,,,240664,,,True
Cape 31 Cape Tip of Africa Cup,https://www.sailing.org.za/events/240666,2024-12-06,2024-12-08,>Cape 31 Cape Tip of Africa Cup,,,,,,,,,,,,240666,,,True
North Sails Series,https://www.sailing.org.za/events/187163,2024-12-07,2024-12-08,>North Sails Series,,,,,,,,,,,,187163,,,True
USSA Sailing,https://www.sailing.org.za/events/240665,2024-12-10,2024-12-16,>USSA Sailing,,,,,,,,,,,,240665,,,True
Hobie 16 Nationals,https://www.sailing.org.za/events/240668,2024-12-14,2024-12-17,>Hobie 16 Nationals,,,,,,,,,,,,240668,,,True
Robberg Regatta,https://www.sailing.org.za/events/187164,2024-12-14,2024-12-16,>Robberg Regatta,,,,,,,,,,,,187164,,,True
2024 SA Sailing Youth National Championship,https://www.sailing.org.za/events/234978,2024-12-15,2024-12-19,>2024 SA Sailing Youth National Championship,,,,,,,,,,,,234978,,,True
Cape to St Helena Start,https://www.sailing.org.za/events/240667,2024-12-26,2025-01-13,>Cape to St Helena Start,,,,,,,,,,,,240667,,,True
West Coast Cruise,https://www.sailing.org.za/events/187165,2024-12-26,2024-12-31,>West Coast Cruise,,,,,,,,,,,,187165,,,True
Stadt 23 WC Champs,https://www.sailing.org.za/events/240669,2024-12-27,2024-12-30,>Stadt 23 WC Champs,,,,,,,,,,,,240669,,,True
GP14 Nationals,https://www.sailing.org.za/events/254016,2024-12-29,2024-12-31,>GP14 Nationals,,,,,,,,,,,,254016,,,True
Sonnet Nationals,https://www.sailing.org.za/events/268391,2025-01-10,2025-01-12,>Sonnet Nationals,,,,,,,,,,,,268391,,,True
SA Sailing Race Coach Training Program,https://www.sailing.org.za/events/260479,2025-01-24,2025-01-26,>SA Sailing Race Coach Training Program,,,,,,,,,,,,260479,,,True
2025 DF95 EC Provincials,https://www.sailing.org.za/events/269214,2025-01-24,2025-01-26,>2025 DF95 EC Provincials,,,,,,,,,,,,269214,,,True
SAS 2025 HMYC GRAND SLAM,https://www.hmyc.org.za/events/274945,2025-01-25,2025-01-26,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,274945,True
Port Owen River Race,https://www.sailing.org.za/events/264676,2025-01-25,2025-01-26,>Port Owen River Race,,,,,,,,,,,,264676,,,True
GIMCO Regatta,https://www.sailing.org.za/events/269202,2025-01-31,2025-02-02,>GIMCO Regatta,,,,,,,,,,,,269202,,,True
LDYC Round the Island Race,https://www.sailing.org.za/events/281183,2025-02-07,2025-02-09,>LDYC Round the Island Race,,,,,,,,,,,,281183,,,True
KYC Interclub Regatta,https://www.sailing.org.za/events/277884,2025-02-08,2025-02-09,>KYC Interclub Regatta,,,,,,,,,,,,277884,,,True
Safety Boat Operators Course,https://www.sailing.org.za/events/276671,2025-02-10,2025-02-12,>Safety Boat Operators Course,,,,,,,,,,,,276671,,,True
SA Sailing - Protest Committe Training,https://www.sailing.org.za/events/257322,2025-02-15,2025-02-16,>SA Sailing - Protest Committe Training,,,,,,,,,,,,257322,,,True
KZN Mirror Regional Championships,https://www.sailing.org.za/events/279801,2025-02-15,2025-02-16,>KZN Mirror Regional Championships,,,,,,,,,,,,279801,,,True
Club Race Officers Course,https://www.revolutionise.com.au/pretoriasc/events/281191,2025-02-15,2025-02-16,"target=""_blank""",,,,,,,,,,,,,revolutionise,281191,True
HYC Cape Classic,https://www.sailing.org.za/events/247890,2025-02-15,2025-02-16,>HYC Cape Classic,,,,,,,,,,,,247890,,,True
Mykonos Offshore 2025,https://www.sailing.org.za/events/269203,2025-02-28,2025-03-01,>Mykonos Offshore 2025,,,,,,,,,,,,269203,,,True
Safety Boat Operators Course,https://www.sailing.org.za/events/277876,2025-03-01,2025-03-02,>Safety Boat Operators Course,,,,,,,,,,,,277876,,,True
2025 HMYC 9HR ENDURANCE RACE,https://www.hmyc.org.za/events/280287,2025-03-01,2025-03-01,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,280287,True
Cape 31,https://www.sailing.org.za/events/278531,2025-03-08,2025-03-09,>Cape 31,,,,,,,,,,,,278531,,,True
MBSC Inter-Club,https://www.sailing.org.za/events/243652,2025-03-08,2025-03-09,>MBSC Inter-Club,,,,,,,,,,,,243652,,,True
National Race Officers Workshop,https://www.sailing.org.za/events/282930,2025-03-13,2025-03-13,>National Race Officers Workshop,,,,,,,,,,,,282930,,,True
2025 Interschools Gauteng Region Championship,https://www.sailing.org.za/events/343815,2025-03-15,2025-03-16,>2025 Interschools Gauteng Region Championship,,,,,,,,,,,,343815,,,True
Hobie 14 WC Provincials,https://www.sailing.org.za/events/187166,2025-03-15,2025-03-16,>Hobie 14 WC Provincials,,,,,,,,,,,,187166,,,True
Hunter 19 Mpumalanga Championship 2025,https://www.sailing.org.za/events/344413,2025-03-15,2025-03-16,>Hunter 19 Mpumalanga Championship 2025,,,,,,,,,,,,344413,,,True
TSC 9 Hr,https://www.sailing.org.za/events/278528,2025-03-15,2025-03-15,>TSC 9 Hr,,,,,,,,,,,,278528,,,True
Hobie Tiger Nationals,https://www.sailing.org.za/events/187167,2025-03-20,2025-03-23,>Hobie Tiger Nationals,,,,,,,,,,,,187167,,,True
2025 Hunter 19 National Championships,https://www.sailing.org.za/events/277145,2025-03-20,2025-03-23,>2025 Hunter 19 National Championships,,,,,,,,,,,,277145,,,True
KZN Mirror National Championships,https://www.sailing.org.za/events/279802,2025-03-21,2025-03-23,>KZN Mirror National Championships,,,,,,,,,,,,279802,,,True
2025 DABCHICK &amp; EXTRA WC CHAMPS,https://www.revolutionise.com.au/dabchickca/events/281593,2025-03-21,2025-03-23,"target=""_blank""",,,,,,,,,,,,,revolutionise,281593,True
Safety Boat Operators Course,https://www.sailing.org.za/events/288267,2025-03-22,2025-03-23,>Safety Boat Operators Course,,,,,,,,,,,,288267,,,True
SA Sailing Safety Boat Operators,https://www.sailing.org.za/events/288265,2025-03-22,2025-03-23,>SA Sailing Safety Boat Operators,,,,,,,,,,,,288265,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/283021,2025-03-25,2025-03-28,>SA Sailing Instructors Course - Dinghy endorsement,,,,,,,,,,,,283021,,,True
RRS Update Workshop,https://www.sailing.org.za/events/286361,2025-03-27,2025-03-27,>RRS Update Workshop,,,,,,,,,,,,286361,,,True
SA Sailing Instructors Course - Keelboat endorsement,https://www.sailing.org.za/events/280323,2025-03-29,2025-04-01,>SA Sailing Instructors Course - Keelboat endorsement,,,,,,,,,,,,280323,,,True
Windsurfer LT Nationals,https://www.sailing.org.za/events/289749,2025-04-04,2025-04-06,>Windsurfer LT Nationals,,,,,,,,,,,,289749,,,True
Overberg Champs,https://www.sailing.org.za/events/278530,2025-04-05,2025-04-06,>Overberg Champs,,,,,,,,,,,,278530,,,True
MBSC Interschools,https://www.sailing.org.za/events/286254,2025-04-05,2025-04-06,>MBSC Interschools,,,,,,,,,,,,286254,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/284702,2025-04-08,2025-04-11,>SA Sailing Instructors Course - Dinghy endorsement,,,,,,,,,,,,284702,,,True
Mirror African Championship,https://www.sailing.org.za/events/209084,2025-04-10,2025-04-11,>Mirror African Championship,,,,,,,,,,,,209084,,,True
MACS Shipping,https://www.sailing.org.za/events/278533,2025-04-12,2025-04-13,>MACS Shipping,,,,,,,,,,,,278533,,,True
Mirror World Championship,https://www.sailing.org.za/events/209085,2025-04-14,2025-04-19,>Mirror World Championship,,,,,,,,,,,,209085,,,True
